date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:11	30498/30498	---M--	200	added ('OK')	image/png	etag:%225d34fc80-7722%22	https://www.faimconference.org/images/home-icons/map-icon.png	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/images/home-icons/map-icon.png	(from https://www.faimconference.org/templates/faimconference2/css/faimconference.css?7265f9babafa0658ca25991956805562)
10:12:11	18945/18945	---M--	200	added ('OK')	image/png	etag:%225d34fc80-4a01%22	https://www.faimconference.org/images/home-icons/contact-icon.png	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/images/home-icons/contact-icon.png	(from https://www.faimconference.org/templates/faimconference2/css/faimconference.css?7265f9babafa0658ca25991956805562)
10:12:12	49/49	---M--	200	added ('OK')	image/gif	etag:%225d35c6b4-31%22	https://www.faimconference.org/modules/mod_maximenuck/themes/blank/images/transparent.gif	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/modules/mod_maximenuck/themes/blank/images/transparent.gif	(from https://www.faimconference.org/modules/mod_maximenuck/themes/blank/css/maximenuck.php?monid=maximenuck92)
10:12:12	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%225d35f2fc-12d68%22	https://www.faimconference.org/media/widgetkit/fonts/fontawesome-webfont.woff2	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/media/widgetkit/fonts/fontawesome-webfont.woff2	(from https://www.faimconference.org/media/widgetkit/wk-styles-e638dee8.css)
10:12:12	98024/98024	---M--	200	added ('OK')	font/woff	etag:%225d35f2fc-17ee8%22	https://www.faimconference.org/media/widgetkit/fonts/fontawesome-webfont.woff	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/media/widgetkit/fonts/fontawesome-webfont.woff	(from https://www.faimconference.org/media/widgetkit/wk-styles-e638dee8.css)
10:12:13	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%225d35f2fc-286ac%22	https://www.faimconference.org/media/widgetkit/fonts/fontawesome-webfont.ttf	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/media/widgetkit/fonts/fontawesome-webfont.ttf	(from https://www.faimconference.org/media/widgetkit/wk-styles-e638dee8.css)
10:12:13	3330/3330	---MCZ	200	added ('OK')	text/css	etag:W/%225d36056e-d02%22	https://www.faimconference.org/plugins/system/cookiespolicynotificationbar/assets/css/style.css	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/plugins/system/cookiespolicynotificationbar/assets/css/style.css	(from https://www.faimconference.org/conference/theme-and-topics)
10:12:13	911/911	---MCZ	200	added ('OK')	text/css	etag:W/%2261685666-38f%22	https://www.faimconference.org/plugins/system/cookiespolicynotificationbar/assets/css/custom.css	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/plugins/system/cookiespolicynotificationbar/assets/css/custom.css	(from https://www.faimconference.org/conference/theme-and-topics)
10:12:13	10665/10665	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d36056e-29a9%22	https://www.faimconference.org/plugins/system/cookiespolicynotificationbar/assets/js/jquery.cookiesdirective.js	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/plugins/system/cookiespolicynotificationbar/assets/js/jquery.cookiesdirective.js	(from https://www.faimconference.org/conference/theme-and-topics)
10:12:13	1479/1479	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261685666-5c7%22	https://www.faimconference.org/plugins/system/cookiespolicynotificationbar/assets/js/custom_en_GB.js	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/plugins/system/cookiespolicynotificationbar/assets/js/custom_en_GB.js	(from https://www.faimconference.org/conference/theme-and-topics)
10:12:14	114998/114998	---M--	200	added ('OK')	image/jpeg	etag:%2264c3276f-1c136%22	https://www.faimconference.org/images/FAIM2024/Feng_Chia_University.jpg	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/images/FAIM2024/Feng_Chia_University.jpg	(from https://www.faimconference.org/conference/hosting-institution)
10:12:14	61574/61574	---M--	200	added ('OK')	image/jpeg	etag:%2264c26590-f086%22	https://www.faimconference.org/images/FAIM2024/Tourism_Bureau.jpg	C:/Users/urvi/Downloads/www.faimconference.org/www.faimconference.org/images/FAIM2024/Tourism_Bureau.jpg	(from https://www.faimconference.org/conference/hosting-institution)
10:12:14	9527/9527	---M--	200	added ('OK')	image/png	etag:48b3363d462412481973e49c76cc0e6a	https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/255px-Flag_of_Portugal.svg.png	C:/Users/urvi/Downloads/www.faimconference.org/upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/255px-Flag_of_Portugal.svg.png	(from https://www.faimconference.org/conference/history)
10:12:15	1518/1518	---M--	200	added ('OK')	image/png	etag:cc3f92e8329c0a519d89a337be9b56db	https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/255px-Flag_of_the_United_States.svg.png	C:/Users/urvi/Downloads/www.faimconference.org/upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/255px-Flag_of_the_United_States.svg.png	(from https://www.faimconference.org/conference/history)
